filename,num,budgets,commitments,disbursements,currency,h1,h2,h3,h4,budgets_avg,commitments_avg,disbursements_avg,budgets_avg_h1,commitments_avg_h1,disbursements_avg_h1,conversion
data/MW-XM-DAC-21-1.xml,22,13800000.0,0.0,13061711.83,EUR,9,13,0,0,627272.7272727273,0.0,593714.1740909091,1533333.3333333333,0.0,1451301.3144444444,1.28987
data/MW-FI-3.xml,31,0.0,10838344.0,5022204.67733,EUR,14,0,0,0,0.0,349624.0,162006.60249451615,0.0,774167.4285714285,358728.9055235715,1.28987
data/MW-GB-1.xml,319,793825124.0,793825277.0,560848638.0,GBP,77,242,0,0,2488480.012539185,2488480.4921630095,1758146.2006269593,10309417.194805196,10309419.181818182,7283748.545454546,1.60971
data/MW-XM-DAC-701-8.xml,190,0.0,3777827976.5019984,4385722484.0,JPY,0,0,0,0,0.0,19883305.1394842,23082749.915789474,0.0,19883305.1394842,23082749.915789474,0.00943802
data/MW-CA-3.xml,70,0.0,767165046.0,0.0,CAD,70,0,0,0,0.0,10959500.657142857,0.0,0.0,10959500.657142857,0.0,0.910902
data/MW-DE-1.xml,30,0.0,176183036.0,112195466.0,EUR,30,0,0,0,0.0,5872767.866666666,3739848.8666666667,0.0,5872767.866666666,3739848.8666666667,1.28987
data/MW-ES-5.xml,32,112300.0,853726.0,771805.0,eur,29,0,0,0,3509.375,26678.9375,24118.90625,3872.4137931034484,29438.827586206895,26613.96551724138,1.28987
data/MW-DK-1.xml,156,0.0,70506824.0,58564003.0,DKK,148,8,0,0,0.0,451966.8205128205,375410.2756410256,0.0,476397.45945945947,395702.72297297296,0.173259
data/MW-US.xml,2387,0.0,217963111.80999967,201832904.6800001,USD,8,20,2359,0,0.0,91312.57302471709,84555.05013824889,0.0,27245388.97624996,25229113.085000012,1
data/MW-AU-5.xml,37,0.0,0.0,41494117.0,AUD,37,0,0,0,0.0,0.0,1121462.6216216215,0.0,0.0,1121462.6216216215,0.928075
data/MW-SE-0.xml,228,17293317.721066993,18835266.158064015,18254193.362411994,USD,0,228,0,0,75847.88474152189,82610.8164827369,80062.25158952629,75847.88474152189,82610.8164827369,80062.25158952629,1
data/MW-EU.xml,124,350801213.0,350801213.0,152110152.0,EUR,0,0,0,0,2829042.040322581,2829042.040322581,1226694.7741935484,2829042.040322581,2829042.040322581,1226694.7741935484,1.28987
data/MW-41119.xml,54,51620380.0,0.0,17206706.0,USD,2,15,37,0,955932.9629629629,0.0,318642.7037037037,25810190.0,0.0,8603353.0,1
data/MW-41114.xml,69,40983996.0,10535145.0,44661798.0,USD,34,35,0,0,593970.9565217391,152683.26086956522,647272.4347826086,1205411.6470588236,309857.20588235295,1313582.294117647,1
data/MW-47045.xml,11,823167066.0,1784174794.0,628283846.0,USD,11,0,0,0,74833369.63636364,162197708.54545453,57116713.27272727,74833369.63636364,162197708.54545453,57116713.27272727,1
data/MW-46002.xml,94,0.0,1011612972.0600002,635125852.55,XDR,94,0,0,0,0.0,10761840.128297875,6756658.005851063,0.0,10761840.128297875,6756658.005851063,1.50154
data/MW-41122.xml,69,240693724.0,184404255.0,118639711.0,USD,69,0,0,0,3488314.84057971,2672525.434782609,1719416.1014492754,3488314.84057971,2672525.434782609,1719416.1014492754,1
data/MW-44000.xml,24,0.0,1947024352.0,845027374.0,USD,24,0,0,0,0.0,81126014.66666667,35209473.916666664,0.0,81126014.66666667,35209473.916666664,1
data/MW-47122.xml,24,159737679.0,168486790.0,152156313.0,USD,24,0,0,0,6655736.625,7020282.916666667,6339846.375,6655736.625,7020282.916666667,6339846.375,1
data/MW-DAC-1601.xml,82,88166513.0,550886966.0,608347326.5093,USD,0,0,0,0,1075201.3780487804,6718133.731707317,7418869.835479268,1075201.3780487804,6718133.731707317,7418869.835479268,1
data/MW-NL-1.xml,3,28279638.0,28279638.0,28279638.0,EUR,3,0,0,0,9426546.0,9426546.0,9426546.0,9426546.0,9426546.0,9426546.0,1.28987
